,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
5754,Germany,Schonaich,63,Moderate,1,0,55,3,0,0,63,Moderate
5755,Germany,Schwieberdingen,66,Moderate,1,0,58,3,0,0,66,Moderate
5756,United States of America,Scottsbluff,39,Good,1,0,23,1,1,0,39,Good
5757,United States of America,Seaside,40,Good,1,0,33,2,1,0,40,Good
5758,Italy,Selvazzano Dentro,87,Moderate,1,0,61,3,0,0,87,Moderate
5759,Russian Federation,Semikarakorsk,47,Good,1,0,47,3,0,0,25,Good
5760,Italy,Seriate,89,Moderate,1,0,50,3,0,0,89,Moderate
5761,Brazil,Sertanopolis,36,Good,1,0,21,0,0,0,36,Good
5762,Russian Federation,Seryshevo,78,Moderate,2,1,36,2,2,1,78,Moderate
5763,Brazil,Severinia,51,Moderate,1,0,27,1,0,0,51,Moderate
5764,Indonesia,Seyegan,168,Unhealthy,7,1,12,0,20,2,168,Unhealthy
5765,United States of America,Martinsville,55,Moderate,1,0,45,3,1,0,55,Moderate
5766,United States of America,Marysville,44,Good,1,0,40,2,1,0,44,Good
5767,Armenia,Masis,100,Unhealthy for Sensitive Groups,1,0,40,2,0,0,100,Unhealthy for Sensitive Groups
5768,Democratic Republic of the Congo,Matadi,68,Moderate,2,1,42,3,0,0,68,Moderate
5769,Japan,Matsumoto,109,Unhealthy for Sensitive Groups,3,1,9,0,12,2,109,Unhealthy for Sensitive Groups
5770,Philippines,Mawab,89,Moderate,2,1,4,0,4,1,89,Moderate
5771,Belgium,Mechelen,51,Moderate,1,0,37,2,2,1,51,Moderate
5772,Germany,Mechernich,55,Moderate,1,0,47,3,0,0,55,Moderate
5773,Greece,Megara,98,Moderate,1,0,40,2,1,0,98,Moderate
5774,Russian Federation,Meleuz,36,Good,1,0,36,2,0,0,28,Good
5775,United States of America,Mequon,51,Moderate,1,0,26,1,1,0,51,Moderate
5776,Philippines,Meycauayan,152,Unhealthy,4,1,22,1,9,2,152,Unhealthy
5777,Brazil,Miguelopolis,39,Good,1,0,23,1,0,0,39,Good
5778,Japan,Miharu,61,Moderate,1,0,22,1,10,2,61,Moderate
5779,Russian Federation,Mikhaylovsk,49,Good,1,0,49,3,1,0,29,Good
5780,United States of America,Millington,77,Moderate,1,0,43,3,3,1,77,Moderate
5781,Pakistan,Minchinabad,167,Unhealthy,4,1,88,3,6,2,167,Unhealthy
5782,Brazil,Miracatu,59,Moderate,1,0,21,0,2,1,59,Moderate
5783,Mexico,Miramar,57,Moderate,1,0,26,1,1,0,57,Moderate
5784,Pakistan,Mirpur Khas,156,Unhealthy,1,0,30,1,2,1,156,Unhealthy
5785,Pakistan,Mirpur Mathelo,162,Unhealthy,2,1,16,0,12,2,162,Unhealthy
5786,Democratic Republic of the Congo,Moba,30,Good,0,0,30,1,0,0,27,Good
5787,South Africa,Molteno,50,Good,0,0,9,0,6,2,50,Good
5788,Italy,Monsummano Terme,71,Moderate,1,0,71,3,0,0,43,Good
5789,Italy,Montemarciano,82,Moderate,1,0,68,3,0,0,82,Moderate
5790,France,Montfermeil,69,Moderate,1,0,46,3,1,0,69,Moderate
5791,Brazil,Morrinhos,24,Good,0,0,24,1,0,0,11,Good
5792,Indonesia,Mranggen,161,Unhealthy,6,1,19,0,15,2,161,Unhealthy
5793,India,Munger,148,Unhealthy for Sensitive Groups,4,1,44,3,6,2,148,Unhealthy for Sensitive Groups
5794,Pakistan,Mustafabad,169,Unhealthy,4,1,95,3,6,2,169,Unhealthy
5795,Russian Federation,Mytishchi,37,Good,1,0,30,1,8,2,37,Good
5796,Japan,Nabari,86,Moderate,2,1,15,0,12,2,86,Moderate
5797,Philippines,Nagcarlan,86,Moderate,2,1,24,1,8,2,86,Moderate
5798,China,Nangong,145,Unhealthy for Sensitive Groups,4,1,49,3,21,2,145,Unhealthy for Sensitive Groups
5799,India,Nannilam,77,Moderate,1,0,28,1,2,1,77,Moderate
5800,China,Nanyang,153,Unhealthy,5,1,76,3,16,2,153,Unhealthy
5801,Costa Rica,Naranjo,53,Moderate,1,0,25,1,0,0,53,Moderate
5802,Thailand,Narathiwat,84,Moderate,3,1,20,0,2,1,84,Moderate
5803,United States of America,Natchitoches,50,Good,1,0,39,2,2,1,50,Good
5804,Greece,Nea Makri,65,Moderate,2,1,50,3,5,2,65,Moderate
5805,United States of America,Needham,45,Good,1,0,41,3,1,0,45,Good
5806,Russian Federation,Neftekamsk,41,Good,1,0,41,3,0,0,18,Good
5807,Russian Federation,Nelidovo,35,Good,1,0,35,2,0,0,11,Good
5808,Germany,Neuenhagen,45,Good,1,0,45,3,0,0,27,Good
5809,Turkey,Nevsehir,44,Good,0,0,44,3,0,0,25,Good
5810,United States of America,New Albany,50,Good,1,0,50,3,1,0,27,Good
5811,United States of America,New Milford,52,Moderate,1,0,46,3,2,1,52,Moderate
5812,Mexico,Nezahualcoyotl,209,Very Unhealthy,2,1,41,3,5,2,209,Very Unhealthy
5813,Germany,Niedernhausen,62,Moderate,1,0,62,3,0,0,57,Moderate
5814,Germany,Niefern Oschelbronn,65,Moderate,1,0,59,3,0,0,65,Moderate
5815,Germany,Niesky,50,Good,1,0,43,3,0,0,50,Good
5816,Japan,Ninohe,94,Moderate,3,1,22,1,13,2,94,Moderate
5817,Japan,Ninomiya,71,Moderate,1,0,32,2,7,2,71,Moderate
5818,Brazil,Nobres,42,Good,1,0,12,0,0,0,42,Good
5819,Russian Federation,Nolinsk,35,Good,1,0,32,2,0,0,35,Good
5820,United States of America,North Bergen,54,Moderate,1,0,40,2,4,1,54,Moderate
5821,Mauritania,Nouakchott,166,Unhealthy,1,0,22,1,0,0,166,Unhealthy
5822,Russian Federation,Novomichurinsk,39,Good,1,0,39,2,1,0,31,Good
5823,Poland,Nowogard,40,Good,1,0,40,2,0,0,17,Good
5824,Sri Lanka,Nuwara Eliya,105,Unhealthy for Sensitive Groups,2,1,10,0,7,2,105,Unhealthy for Sensitive Groups
5825,Hungary,Nyiregyhaza,61,Moderate,1,0,52,3,0,0,61,Moderate
5826,United States of America,Oak Park,60,Moderate,1,0,33,2,2,1,60,Moderate
5827,Russian Federation,Obluche,92,Moderate,2,1,42,3,0,0,92,Moderate
5828,Denmark,Odense,43,Good,1,0,43,3,0,0,14,Good
5829,Portugal,Odivelas,42,Good,1,0,42,3,1,0,18,Good
5830,Russian Federation,Oktyabrskaya,44,Good,1,0,44,3,0,0,19,Good
5831,Russian Federation,Olenegorsk,30,Good,1,0,30,1,0,0,24,Good
5832,Nigeria,Damaturu,98,Moderate,2,1,46,3,0,0,98,Moderate
5833,Russian Federation,Danilov,32,Good,1,0,32,2,0,0,10,Good
5834,Philippines,Dao,64,Moderate,1,0,28,1,2,1,64,Moderate
5835,Mongolia,Darhan,33,Good,1,0,33,2,0,0,19,Good
5836,Germany,Deggendorf,69,Moderate,1,0,51,3,0,0,69,Moderate
5837,China,Dehui,156,Unhealthy,4,1,45,3,8,2,156,Unhealthy
5838,Germany,Denzlingen,67,Moderate,1,0,54,3,0,0,67,Moderate
5839,Costa Rica,Desamparados,49,Good,1,0,26,1,1,0,49,Good
5840,Brazil,Dianopolis,17,Good,0,0,17,0,0,0,17,Good
5841,Germany,Dillenburg,55,Moderate,1,0,48,3,0,0,55,Moderate
5842,Russian Federation,Dinskaya,42,Good,1,0,42,3,2,1,38,Good
5843,United States of America,Dinuba,51,Moderate,1,0,22,1,4,1,51,Moderate
5844,Colombia,Dos Quebradas,113,Unhealthy for Sensitive Groups,3,1,16,0,4,1,113,Unhealthy for Sensitive Groups
5845,France,Dourdan,76,Moderate,1,0,38,2,2,1,76,Moderate
5846,Romania,Dragasani,49,Good,1,0,49,3,0,0,43,Good
5847,United States of America,Druid Hills,73,Moderate,1,0,73,3,3,1,33,Good
5848,Colombia,Duitama,22,Good,0,0,14,0,0,0,22,Good
5849,India,Dum Duma,72,Moderate,2,1,8,0,5,2,72,Moderate
5850,France,Dunkirk,35,Good,1,0,35,2,0,0,31,Good
5851,United States of America,Dunwoody,69,Moderate,1,0,69,3,3,1,29,Good
5852,Nigeria,Dutse,90,Moderate,2,1,61,3,0,0,90,Moderate
5853,Russian Federation,Dvubratskiy,47,Good,1,0,47,3,1,0,33,Good
5854,Poland,Dzialdowo,40,Good,1,0,40,2,0,0,19,Good
5855,Japan,Ebetsu,50,Good,1,0,29,1,6,2,50,Good
5856,United States of America,Edison,50,Good,1,0,41,3,3,1,50,Good
5857,Germany,Ehingen,63,Moderate,1,0,54,3,0,0,63,Moderate
5858,Egypt,El Badari,88,Moderate,1,0,88,3,0,0,72,Moderate
5859,Spain,El Escorial,41,Good,0,0,41,3,0,0,8,Good
5860,Venezuela (Bolivarian Republic of),El Limon,118,Unhealthy for Sensitive Groups,2,1,52,3,3,1,118,Unhealthy for Sensitive Groups
5861,Mexico,El Salto,58,Moderate,1,0,28,1,0,0,58,Moderate
5862,Russian Federation,Elektrogorsk,39,Good,1,0,39,2,2,1,27,Good
5863,Cuba,Encrucijada,35,Good,1,0,35,2,0,0,29,Good
5864,United States of America,Ephrata,47,Good,1,0,47,3,1,0,36,Good
5865,Kazakhstan,Ereymentau,30,Good,1,0,30,1,0,0,16,Good
5866,Denmark,Esbjerg,40,Good,1,0,40,2,0,0,22,Good
5867,Nicaragua,Esteli,42,Good,1,0,19,0,0,0,42,Good
5868,Italy,Fagnano Olona,96,Moderate,1,0,64,3,0,0,96,Moderate
5869,Brazil,Feira De Santana,28,Good,0,0,23,1,0,0,28,Good
5870,United States of America,Ferndale,55,Moderate,1,0,34,2,1,0,55,Moderate
5871,Ethiopia,Finote Selam,79,Moderate,1,0,18,0,0,0,79,Moderate
5872,India,Firozpur Jhirka,174,Unhealthy,5,1,50,3,10,2,174,Unhealthy
5873,Guatemala,Flores,62,Moderate,1,0,22,1,0,0,62,Moderate
5874,Bosnia and Herzegovina,Foca,102,Unhealthy for Sensitive Groups,1,0,37,2,0,0,102,Unhealthy for Sensitive Groups
5875,United States of America,Forest Grove,63,Moderate,1,0,31,1,3,1,63,Moderate
5877,Czechia,Frydek Mistek,77,Moderate,1,0,46,3,0,0,77,Moderate
5878,Japan,Fujimi,85,Moderate,2,1,25,1,19,2,85,Moderate
5879,Japan,Fukuyama,52,Moderate,1,0,44,3,3,1,52,Moderate
5880,Germany,Fussen,59,Moderate,1,0,49,3,0,0,59,Moderate
5881,Bulgaria,Gabrovo,46,Good,1,0,46,3,0,0,42,Good
5882,India,Gadarwara,161,Unhealthy,2,1,41,3,2,1,161,Unhealthy
5883,Spain,Galdar,40,Good,0,0,40,2,0,0,31,Good
5884,Congo,Gamboma,61,Moderate,2,1,21,0,0,0,61,Moderate
5885,Tajikistan,Garm,113,Unhealthy for Sensitive Groups,1,0,27,1,0,0,113,Unhealthy for Sensitive Groups
5886,Brazil,Gaspar,51,Moderate,1,0,19,0,2,1,51,Moderate
5887,United States of America,Gautier,51,Moderate,1,0,42,3,1,0,51,Moderate
5888,Russian Federation,Gavrilov Yam,37,Good,1,0,37,2,0,0,13,Good
5889,Germany,Gelnhausen,60,Moderate,1,0,56,3,0,0,60,Moderate
5890,Democratic Republic of the Congo,Gemena,58,Moderate,1,0,12,0,0,0,58,Moderate
5891,Germany,Gersthofen,67,Moderate,1,0,56,3,0,0,67,Moderate
5892,India,Ghosi,171,Unhealthy,4,1,89,3,5,2,171,Unhealthy
5893,Sri Lanka,Weligama,47,Good,1,0,17,0,2,1,47,Good
5894,Germany,Werdau,53,Moderate,1,0,48,3,0,0,53,Moderate
5895,United States of America,West Caldwell,51,Moderate,1,0,46,3,2,1,51,Moderate
5896,United States of America,West Pensacola,48,Good,2,1,48,3,4,1,42,Good
5897,United States of America,West University Place,30,Good,0,0,26,1,1,0,30,Good
5898,United States of America,Westchester,34,Good,1,0,34,2,1,0,30,Good
5899,Germany,Wiehl,54,Moderate,1,0,47,3,0,0,54,Moderate
5900,United States of America,Wildomar,58,Moderate,2,1,22,1,9,2,58,Moderate
5901,United States of America,Wilkes Barre,52,Moderate,1,0,35,2,2,1,52,Moderate
5902,United States of America,Winder,46,Good,1,0,46,3,3,1,38,Good
5903,United States of America,Winslow,60,Moderate,1,0,31,1,1,0,60,Moderate
5904,Switzerland,Wohlen,57,Moderate,1,0,52,3,0,0,57,Moderate
5905,Germany,Wolmirstedt,45,Good,1,0,45,3,0,0,30,Good
5906,Indonesia,Wonosari,174,Unhealthy,7,1,7,0,20,2,174,Unhealthy
5907,United States of America,Woodstock,64,Moderate,1,0,64,3,3,1,26,Good
5908,United States of America,Wyandotte,61,Moderate,1,0,36,2,1,0,61,Moderate
5909,United States of America,Xenia,45,Good,1,0,45,3,1,0,42,Good
5910,Russian Federation,Yadrin,35,Good,1,0,35,2,0,0,26,Good
5911,Turkey,Yalova,63,Moderate,1,0,53,3,1,0,63,Moderate
5912,India,Yanam,119,Unhealthy for Sensitive Groups,3,1,44,3,4,1,119,Unhealthy for Sensitive Groups
5913,China,Yangshe,207,Very Unhealthy,11,1,3,0,49,2,207,Very Unhealthy
5914,Mexico,Armeria,63,Moderate,2,1,16,0,3,1,63,Moderate
5915,Spain,Armilla,27,Good,1,0,27,1,1,0,24,Good
5916,India,Aron,212,Very Unhealthy,1,0,39,2,0,0,212,Very Unhealthy
5917,Panama,Arraijan,76,Moderate,2,1,17,0,6,2,76,Moderate
5918,Spain,Arrigorriaga,38,Good,1,0,38,2,1,0,16,Good
5919,United States of America,Ashwaubenon,30,Good,1,0,30,1,3,1,29,Good
5920,Indonesia,Atambua,28,Good,1,0,22,1,0,0,28,Good
5921,Pakistan,Attock,156,Unhealthy,3,1,156,3,1,0,156,Unhealthy
5922,France,Avrille,27,Good,1,0,24,1,3,1,27,Good
5923,Malaysia,Ayer Molek,72,Moderate,1,0,31,1,0,0,72,Moderate
5924,Argentina,Azul,34,Good,0,0,17,0,0,0,34,Good
5925,United States of America,Back Mountain,62,Moderate,2,1,18,0,8,2,62,Moderate
5926,Philippines,Baguio,28,Good,0,0,25,1,1,0,28,Good
5927,Turkey,Zile,46,Good,1,0,46,3,0,0,24,Good
5928,Poland,Znin,42,Good,1,0,42,3,0,0,27,Good
5929,Libya,Zuwarah,57,Moderate,1,0,48,3,0,0,57,Moderate
5930,Spain,Bueu,22,Good,1,0,21,0,2,1,22,Good
5931,United Republic of Tanzania,Bugarama,45,Good,1,0,20,0,0,0,45,Good
5932,Germany,Burg,59,Moderate,1,0,36,2,2,1,59,Moderate
5933,United States of America,Burkburnett,35,Good,1,0,35,2,1,0,33,Good
5934,United States of America,Burlington,51,Moderate,1,0,22,1,9,2,51,Moderate
5935,Mexico,Cadereyta,84,Moderate,2,1,11,0,6,2,84,Moderate
5936,Brazil,Cajamar,78,Moderate,2,1,3,0,7,2,78,Moderate
5937,Philippines,Calbayog,36,Good,1,0,22,1,0,0,36,Good
5938,Peru,Camana,23,Good,1,0,23,1,0,0,14,Good
5939,Venezuela (Bolivarian Republic of),Cantaura,134,Unhealthy for Sensitive Groups,1,0,20,0,1,0,134,Unhealthy for Sensitive Groups
5940,Brazil,Carandai,52,Moderate,1,0,10,0,2,1,52,Moderate
5941,United States of America,Carpentersville,58,Moderate,1,0,18,0,14,2,58,Moderate
5942,Italy,Carpi,60,Moderate,1,0,44,3,2,1,60,Moderate
5943,Ireland,Carrigaline,33,Good,1,0,33,2,2,1,22,Good
5944,United States of America,Carver,33,Good,1,0,31,1,8,2,33,Good
5945,Italy,Castellammare Di Stabia,74,Moderate,2,1,52,3,10,2,74,Moderate
5946,Spain,Castilleja De La Cuesta,26,Good,0,0,26,1,1,0,16,Good
5947,United States of America,Cayce,71,Moderate,2,1,25,1,9,2,71,Moderate
5948,Brazil,Chapadinha,56,Moderate,1,0,9,0,1,0,56,Moderate
5949,France,Chateau Thierry,68,Moderate,1,0,24,1,3,1,68,Moderate
5950,Portugal,Chaves,14,Good,1,0,12,0,3,1,14,Good
5951,United States of America,Chelsea,46,Good,1,0,29,1,8,2,46,Good
5952,China,Chengkung,182,Unhealthy,2,1,182,3,8,2,142,Unhealthy for Sensitive Groups
5953,United States of America,Chicago,64,Moderate,2,1,12,0,20,2,64,Moderate
5954,China,Chihu,198,Unhealthy,3,1,198,3,14,2,152,Unhealthy
5955,Panama,Chitre,80,Moderate,3,1,11,0,9,2,80,Moderate
5956,Brazil,Chopinzinho,37,Good,1,0,5,0,2,1,37,Good
5957,China,Chushan,201,Very Unhealthy,2,1,201,3,7,2,151,Unhealthy
5958,Mexico,Cintalapa,59,Moderate,2,1,24,1,1,0,59,Moderate
5959,Indonesia,Cirebon,71,Moderate,2,1,53,3,0,0,71,Moderate
5960,United States of America,Clarksville,77,Moderate,3,1,8,0,31,2,77,Moderate
5961,Germany,Coburg,59,Moderate,1,0,36,2,4,1,59,Moderate
5962,United States of America,Cohoes,63,Moderate,2,1,25,1,7,2,63,Moderate
5963,United States of America,Colton,85,Moderate,3,1,6,0,22,2,85,Moderate
5964,Mexico,Comalcalco,142,Unhealthy for Sensitive Groups,2,1,13,0,3,1,142,Unhealthy for Sensitive Groups
5965,Benin,Come,69,Moderate,1,0,18,0,1,0,69,Moderate
5966,Italy,Concordia Sagittaria,74,Moderate,1,0,32,2,4,1,74,Moderate
5967,United States of America,Conyers,93,Moderate,3,1,8,0,30,2,93,Moderate
5968,Mexico,Coquimatlan,70,Moderate,2,1,11,0,4,1,70,Moderate
5969,Mexico,Coscomatepec,100,Unhealthy for Sensitive Groups,3,1,7,0,9,2,100,Unhealthy for Sensitive Groups
5970,Brazil,Cosmopolis,53,Moderate,1,0,6,0,4,1,53,Moderate
5971,Mexico,Cosoleacaque,108,Unhealthy for Sensitive Groups,2,1,17,0,3,1,108,Unhealthy for Sensitive Groups
5972,Brazil,Cruz Alta,20,Good,1,0,9,0,2,1,20,Good
5973,Malaysia,Cukai,93,Moderate,1,0,38,2,0,0,93,Moderate
5974,Brazil,Cupira,37,Good,0,0,9,0,2,1,37,Good
5975,Brazil,Curitibanos,17,Good,0,0,17,0,0,0,17,Good
5976,India,Dabhoi,139,Unhealthy for Sensitive Groups,1,0,39,2,0,0,139,Unhealthy for Sensitive Groups
5977,Senegal,Dakar,166,Unhealthy,1,0,21,0,2,1,166,Unhealthy
5978,India,Davorlim,73,Moderate,0,0,25,1,0,0,73,Moderate
5979,China,Dayong,130,Unhealthy for Sensitive Groups,2,1,130,3,0,0,74,Moderate
5980,United States of America,Delaware,42,Good,1,0,42,3,3,1,26,Good
5981,Indonesia,Deli Tua,68,Moderate,2,1,41,3,0,0,68,Moderate
5982,Netherlands,Den Helder,38,Good,0,0,38,2,0,0,36,Good
5983,Belgium,Denderleeuw,44,Good,1,0,27,1,4,1,44,Good
5984,United States of America,Derry,30,Good,1,0,30,1,4,1,23,Good
5985,Germany,Dessau,40,Good,0,0,32,2,1,0,40,Good
5986,Brazil,Diadema,137,Unhealthy for Sensitive Groups,3,1,4,0,15,2,137,Unhealthy for Sensitive Groups
5987,Poland,Dobre Miasto,37,Good,0,0,33,2,0,0,37,Good
5988,Bulgaria,Dobric,43,Good,1,0,43,3,1,0,31,Good
5989,Bangladesh,Dohar,89,Moderate,3,1,51,3,3,1,89,Moderate
5990,Colombia,Don Matias,66,Moderate,2,1,7,0,5,2,66,Moderate
5991,Ukraine,Donetsk,37,Good,1,0,37,2,0,0,14,Good
5992,India,Dongargaon,178,Unhealthy,1,0,39,2,0,0,178,Unhealthy
5993,Chad,Dourbali,57,Moderate,2,1,17,0,0,0,57,Moderate
5994,France,Draveil,57,Moderate,1,0,20,0,6,2,57,Moderate
5995,United States of America,East Liverpool,43,Good,1,0,43,3,4,1,35,Good
5996,Germany,Eichstatt,47,Good,1,0,35,2,1,0,47,Good
5997,Germany,Eisenach,51,Moderate,1,0,24,1,4,1,51,Moderate
5998,Mexico,El Rosario,110,Unhealthy for Sensitive Groups,2,1,11,0,3,1,110,Unhealthy for Sensitive Groups
5999,Ecuador,El Triunfo,59,Moderate,1,0,17,0,4,1,59,Moderate
6000,Nicaragua,El Viejo,86,Moderate,1,0,18,0,3,1,86,Moderate
6001,Venezuela (Bolivarian Republic of),El Vigia,61,Moderate,1,0,8,0,4,1,61,Moderate
6002,Spain,Elda,31,Good,1,0,31,1,1,0,21,Good
6003,Poland,Elk,34,Good,0,0,34,2,0,0,33,Good
6004,Germany,Emmerich,38,Good,0,0,32,2,2,1,38,Good
6005,Belgium,Charleroi,58,Moderate,1,0,25,1,5,2,58,Moderate
6006,Russian Federation,Chelyabinsk 70,31,Good,1,0,29,1,0,0,31,Good
6007,United States of America,Cheney,32,Good,1,0,32,2,1,0,28,Good
6008,India,Chhaprauli,158,Unhealthy,3,1,158,3,2,1,158,Unhealthy
6009,India,Chhindwara,176,Unhealthy,1,0,34,2,0,0,176,Unhealthy
6010,Zimbabwe,Chipinge,41,Good,2,1,13,0,0,0,41,Good
6011,United States of America,Clemson,65,Moderate,2,1,34,2,7,2,65,Moderate
6012,United States of America,Cliffside Park,119,Unhealthy for Sensitive Groups,3,1,10,0,33,2,119,Unhealthy for Sensitive Groups
6013,Canada,Cobourg,30,Good,1,0,30,1,2,1,26,Good
6014,United States of America,Collingswood,73,Moderate,1,0,37,2,5,2,73,Moderate
6015,Uruguay,Colonia,52,Moderate,1,0,11,0,3,1,52,Moderate
6016,United States of America,Columbia Heights,52,Moderate,1,0,42,3,3,1,52,Moderate
6017,United States of America,Cordele,58,Moderate,2,1,29,1,3,1,58,Moderate
6018,Argentina,Cordoba,41,Good,1,0,12,0,4,1,41,Good
6019,Italy,Cori,39,Good,2,1,39,2,6,2,39,Good
6020,Italy,Cornedo Vicentino,59,Moderate,2,1,36,2,5,2,59,Moderate
6021,Brazil,Corrente,54,Moderate,1,0,12,0,1,0,54,Moderate
6022,Germany,Coswig,67,Moderate,1,0,40,2,1,0,67,Moderate
6023,Brazil,Criciuma,85,Moderate,2,1,17,0,3,1,85,Moderate
6024,Germany,Crimmitschau,69,Moderate,1,0,37,2,2,1,69,Moderate
6025,United States of America,Crofton,51,Moderate,1,0,42,3,4,1,51,Moderate
6026,Spain,Cullera,34,Good,1,0,30,1,1,0,34,Good
6027,Brazil,Curuca,42,Good,0,0,19,0,0,0,42,Good
6028,India,Dadri,178,Unhealthy,4,1,170,3,3,1,178,Unhealthy
6029,Colombia,Dagua,39,Good,1,0,9,0,3,1,39,Good
6030,Germany,Alsfeld,64,Moderate,1,0,35,2,2,1,64,Moderate
6031,India,Ambad,116,Unhealthy for Sensitive Groups,1,0,32,2,0,0,116,Unhealthy for Sensitive Groups
6032,Madagascar,Ambatondrazaka,20,Good,0,0,20,0,0,0,12,Good
6033,Italy,Amelia,60,Moderate,1,0,36,2,3,1,60,Moderate
6034,Brazil,Amontada,39,Good,0,0,20,0,0,0,39,Good
6035,Sri Lanka,Amparai,62,Moderate,1,0,37,2,1,0,62,Moderate
6036,Italy,Anagni,56,Moderate,1,0,38,2,4,1,56,Moderate
6037,Afghanistan,Andarab,104,Unhealthy for Sensitive Groups,0,0,34,2,0,0,104,Unhealthy for Sensitive Groups
6038,France,Angers,32,Good,1,0,18,0,4,1,32,Good
6039,Colombia,Anserma,88,Moderate,3,1,1,0,6,2,88,Moderate
6040,Madagascar,Antsirabe,52,Moderate,1,0,22,1,0,0,52,Moderate
6042,Italy,Aosta,87,Moderate,0,0,28,1,1,0,87,Moderate
6043,United States of America,Apache Junction,48,Good,1,0,21,0,12,2,48,Good
6044,United States of America,Apopka,71,Moderate,1,0,8,0,17,2,71,Moderate
6045,Brazil,Aquidaba,17,Good,0,0,17,0,0,0,17,Good
6046,Brazil,Aracati,22,Good,0,0,21,0,0,0,22,Good
6047,India,Arani,61,Moderate,0,0,26,1,0,0,61,Moderate
6048,Colombia,Arauca,52,Moderate,1,0,8,0,1,0,52,Moderate
6049,Iran (Islamic Republic of),Ardabil,44,Good,1,0,41,3,0,0,44,Good
6050,Brazil,Engenheiro Beltrao,46,Good,1,0,14,0,1,0,46,Good
6051,Portugal,Estoril,36,Good,1,0,36,2,5,2,17,Good
6052,Brazil,Extrema,78,Moderate,2,1,11,0,5,2,78,Moderate
6053,United States of America,Fall River,57,Moderate,2,1,23,1,14,2,57,Moderate
6054,United Kingdom of Great Britain and Northern Ireland,Farnworth,58,Moderate,1,0,26,1,7,2,58,Moderate
6055,Chad,Faya,156,Unhealthy,1,0,29,1,0,0,156,Unhealthy
6056,Italy,Ferrara,68,Moderate,2,1,27,1,10,2,68,Moderate
6057,Belgium,Fleron,57,Moderate,1,0,29,1,4,1,57,Moderate
6058,Brazil,Floriano,14,Good,0,0,14,0,0,0,13,Good
6059,United States of America,Flowing Wells,65,Moderate,1,0,21,0,6,2,65,Moderate
6060,France,Fontainebleau,66,Moderate,1,0,20,0,4,1,66,Moderate
6061,India,Beawar,221,Very Unhealthy,1,0,35,2,0,0,221,Very Unhealthy
6062,India,Begowal,151,Unhealthy,3,1,145,3,1,0,151,Unhealthy
6063,Colombia,Belen De Umbria,90,Moderate,3,1,1,0,6,2,90,Moderate
6064,United States of America,Bell Gardens,123,Unhealthy for Sensitive Groups,4,1,3,0,41,2,123,Unhealthy for Sensitive Groups
6065,United States of America,Bellefontaine Neighbors,54,Moderate,1,0,40,2,4,1,54,Moderate
6066,India,Belonia,74,Moderate,4,1,39,2,2,1,74,Moderate
6067,Côte d'Ivoire,Beoumi,33,Good,1,0,19,0,0,0,33,Good
6068,Somalia,Berbera,90,Moderate,1,0,24,1,0,0,90,Moderate
6069,Germany,Bernau,39,Good,1,0,35,2,1,0,39,Good
6070,Brazil,Betim,91,Moderate,2,1,4,0,9,2,91,Moderate
6071,India,Bhadrachalam,96,Moderate,1,0,16,0,3,1,96,Moderate
6072,India,Bhadravati,39,Good,0,0,21,0,0,0,39,Good
6073,India,Bhitarwar,230,Very Unhealthy,1,0,46,3,0,0,230,Very Unhealthy
6074,India,Bhongir,98,Moderate,1,0,25,1,1,0,98,Moderate
6075,Poland,Bialystok,54,Moderate,1,0,32,2,1,0,54,Moderate
6076,Viet Nam,Bien Hoa,83,Moderate,2,1,40,2,2,1,83,Moderate
6077,Brazil,Biguacu,96,Moderate,3,1,13,0,6,2,96,Moderate
6078,India,Bilasipara,50,Good,2,1,41,3,0,0,50,Good
6079,India,Bilaspur,111,Unhealthy for Sensitive Groups,2,1,110,3,0,0,111,Unhealthy for Sensitive Groups
6080,Ukraine,Bilopillya,36,Good,1,0,36,2,0,0,10,Good
6081,Belgium,Binche,57,Moderate,1,0,25,1,5,2,57,Moderate
6082,Romania,Bocsa,51,Moderate,1,0,36,2,0,0,51,Moderate
6083,France,Bois Guillaume,55,Moderate,1,0,30,1,3,1,55,Moderate
6084,United States of America,Bolingbrook,41,Good,2,1,30,1,9,2,41,Good
6085,Brazil,Bom Jesus Do Galho,45,Good,1,0,12,0,2,1,45,Good
6086,Brazil,Bom Jesus Do Itabapoana,58,Moderate,2,1,3,0,4,1,58,Moderate
6087,France,Bondues,45,Good,1,0,26,1,5,2,45,Good
6088,Netherlands,Borculo,31,Good,0,0,31,1,2,1,19,Good
6089,Italy,Bra,104,Unhealthy for Sensitive Groups,2,1,22,1,6,2,104,Unhealthy for Sensitive Groups
6090,Austria,Bregenz,41,Good,1,0,30,1,5,2,41,Good
6092,United Kingdom of Great Britain and Northern Ireland,Brighton,28,Good,1,0,28,1,4,1,22,Good
6093,Italy,Brindisi,62,Moderate,1,0,62,3,1,0,47,Good
6094,Australia,Broken Hill,126,Unhealthy for Sensitive Groups,0,0,15,0,0,0,126,Unhealthy for Sensitive Groups
6095,Cameroon,Foumbot,122,Unhealthy for Sensitive Groups,4,1,12,0,2,1,122,Unhealthy for Sensitive Groups
